"x"
"1" "Pairwise Treatment Co-efficients; Median hazard ratio (95% Credible Interval)"
"" "x"
"1" "Row treatment vs. Column treatment (reference)"
"" "x"
"1" "------------------"
"","ERL/GEF","AFA","AFA+CET","CARBO+PEM","CIS+PEM","CIS+PEM+GEF_m","DAC","EMI+ERL","ERL+BEV","ERL+PAC+CARBO","GEF+BEV","GEF+CARBO+PEM","GEF+CARBO+PEM (Alter)","GEF+FIC","GEF+MET","GEF+OLA","GEF+PEM","GEM+CIS","ICO","ICO high-dose","LIN+ERL","OSI","RAM+ERL","VIN+GEF"
"ERL/GEF","1 (1,1)","1.33 (1.04,1.64)","1.28 (0.88,1.82)","0.63 (0.5,0.8)","0.66 (0.46,0.88)","1.29 (0.82,2.05)","1.61 (1.29,2.01)","1.13 (0.82,1.57)","1.61 (1.28,2.01)","1.27 (0.66,2.5)","0.37 (0.08,2.17)","2.02 (1.69,2.4)","1.41 (0.83,2.44)","1.38 (0.8,2.43)","0.96 (0.69,1.36)","1.34 (0.91,1.91)","1.47 (1.13,1.91)","0.37 (0.28,0.48)","1 (0.63,1.52)","1.35 (0.76,2.29)","0.73 (0.42,1.33)","2.18 (1.74,2.71)","1.7 (1.3,2.19)","0.62 (0.25,1.54)"
"AFA","0.75 (0.61,0.96)","1 (1,1)","0.97 (0.71,1.27)","0.48 (0.34,0.66)","0.49 (0.38,0.63)","0.97 (0.64,1.52)","1.21 (0.88,1.67)","0.85 (0.58,1.28)","1.21 (0.88,1.69)","0.95 (0.46,1.92)","0.27 (0.07,1.73)","1.52 (1.16,2.05)","1.06 (0.59,1.94)","1.05 (0.57,1.86)","0.72 (0.49,1.1)","1.01 (0.66,1.54)","1.09 (0.78,1.59)","0.28 (0.21,0.36)","0.75 (0.51,1.1)","1.01 (0.6,1.71)","0.55 (0.3,1.05)","1.64 (1.22,2.24)","1.28 (0.91,1.81)","0.47 (0.19,1.19)"
"AFA+CET","0.78 (0.55,1.14)","1.03 (0.79,1.41)","1 (1,1)","0.49 (0.32,0.77)","0.51 (0.34,0.79)","0.99 (0.61,1.75)","1.26 (0.83,1.9)","0.88 (0.55,1.46)","1.26 (0.81,1.92)","0.99 (0.45,2.15)","0.28 (0.06,1.8)","1.57 (1.06,2.39)","1.1 (0.58,2.11)","1.1 (0.54,2.12)","0.75 (0.46,1.23)","1.04 (0.62,1.74)","1.14 (0.73,1.81)","0.28 (0.19,0.42)","0.78 (0.46,1.29)","1.05 (0.56,1.94)","0.57 (0.29,1.17)","1.7 (1.14,2.61)","1.32 (0.84,2.09)","0.49 (0.19,1.28)"
"CARBO+PEM","1.58 (1.24,1.99)","2.09 (1.51,2.92)","2.03 (1.3,3.14)","1 (1,1)","1.03 (0.68,1.51)","2.02 (1.23,3.43)","2.55 (1.83,3.52)","1.79 (1.17,2.67)","2.54 (1.82,3.53)","1.98 (0.98,4.08)","0.58 (0.12,3.48)","3.18 (2.37,4.27)","2.23 (1.25,4.12)","2.17 (1.22,3.98)","1.51 (0.99,2.33)","2.11 (1.34,3.32)","2.31 (1.62,3.3)","0.58 (0.4,0.83)","1.56 (0.94,2.56)","2.11 (1.15,3.82)","1.15 (0.61,2.16)","3.44 (2.46,4.72)","2.7 (1.87,3.78)","1 (0.38,2.53)"
"CIS+PEM","1.52 (1.14,2.18)","2.04 (1.58,2.65)","1.97 (1.26,2.92)","0.97 (0.66,1.47)","1 (1,1)","1.97 (1.3,3.12)","2.47 (1.7,3.72)","1.73 (1.11,2.87)","2.47 (1.68,3.75)","1.96 (0.93,4.04)","0.55 (0.13,3.45)","3.07 (2.17,4.55)","2.17 (1.15,4.18)","2.13 (1.14,4.14)","1.46 (0.95,2.4)","2.05 (1.26,3.38)","2.22 (1.48,3.55)","0.56 (0.4,0.81)","1.52 (1.13,2.08)","2.07 (1.29,3.29)","1.11 (0.59,2.22)","3.31 (2.3,5.01)","2.61 (1.74,4)","0.97 (0.37,2.51)"
"CIS+PEM+GEF_m","0.78 (0.49,1.22)","1.03 (0.66,1.56)","1.01 (0.57,1.63)","0.5 (0.29,0.81)","0.51 (0.32,0.77)","1 (1,1)","1.26 (0.76,2.08)","0.88 (0.5,1.52)","1.25 (0.73,2.03)","0.98 (0.39,2.17)","0.29 (0.06,1.76)","1.57 (0.95,2.56)","1.1 (0.53,2.24)","1.06 (0.51,2.21)","0.74 (0.42,1.32)","1.04 (0.58,1.86)","1.12 (0.66,1.94)","0.28 (0.17,0.46)","0.77 (0.45,1.27)","1.05 (0.55,1.89)","0.57 (0.27,1.23)","1.7 (1,2.8)","1.32 (0.79,2.19)","0.5 (0.17,1.36)"
"DAC","0.62 (0.5,0.78)","0.82 (0.6,1.13)","0.79 (0.53,1.21)","0.39 (0.28,0.55)","0.41 (0.27,0.59)","0.8 (0.48,1.32)","1 (1,1)","0.7 (0.47,1.05)","1 (0.73,1.38)","0.78 (0.39,1.6)","0.23 (0.05,1.37)","1.25 (0.93,1.66)","0.88 (0.48,1.59)","0.85 (0.48,1.58)","0.6 (0.4,0.9)","0.83 (0.54,1.27)","0.91 (0.64,1.28)","0.23 (0.16,0.32)","0.62 (0.38,0.99)","0.84 (0.45,1.49)","0.46 (0.24,0.84)","1.35 (0.98,1.89)","1.05 (0.75,1.47)","0.39 (0.15,0.99)"
"EMI+ERL","0.89 (0.64,1.22)","1.18 (0.78,1.73)","1.13 (0.68,1.83)","0.56 (0.37,0.85)","0.58 (0.35,0.9)","1.14 (0.66,1.98)","1.43 (0.95,2.11)","1 (1,1)","1.43 (0.94,2.11)","1.11 (0.52,2.36)","0.32 (0.07,2)","1.78 (1.22,2.59)","1.26 (0.65,2.37)","1.22 (0.64,2.31)","0.85 (0.54,1.4)","1.18 (0.71,1.91)","1.29 (0.85,1.99)","0.32 (0.21,0.5)","0.88 (0.49,1.48)","1.19 (0.61,2.19)","0.64 (0.34,1.28)","1.92 (1.27,2.83)","1.52 (0.98,2.24)","0.56 (0.2,1.46)"
"ERL+BEV","0.62 (0.5,0.78)","0.83 (0.59,1.14)","0.79 (0.52,1.23)","0.39 (0.28,0.55)","0.4 (0.27,0.6)","0.8 (0.49,1.38)","1 (0.72,1.37)","0.7 (0.47,1.06)","1 (1,1)","0.78 (0.38,1.56)","0.23 (0.05,1.35)","1.25 (0.94,1.67)","0.88 (0.49,1.59)","0.85 (0.48,1.57)","0.6 (0.4,0.9)","0.83 (0.54,1.26)","0.91 (0.65,1.28)","0.23 (0.16,0.33)","0.62 (0.38,1)","0.84 (0.46,1.49)","0.46 (0.24,0.87)","1.35 (0.99,1.85)","1.06 (0.75,1.49)","0.39 (0.15,0.99)"
"ERL+PAC+CARBO","0.79 (0.4,1.52)","1.05 (0.52,2.19)","1.02 (0.47,2.23)","0.51 (0.25,1.02)","0.51 (0.25,1.08)","1.02 (0.46,2.56)","1.29 (0.63,2.57)","0.9 (0.42,1.92)","1.28 (0.64,2.61)","1 (1,1)","0.29 (0.06,1.84)","1.61 (0.79,3.19)","1.13 (0.48,2.66)","1.11 (0.46,2.65)","0.76 (0.37,1.58)","1.06 (0.49,2.26)","1.17 (0.55,2.33)","0.29 (0.14,0.6)","0.79 (0.35,1.75)","1.07 (0.44,2.56)","0.58 (0.24,1.39)","1.74 (0.83,3.45)","1.36 (0.64,2.78)","0.49 (0.16,1.55)"
