"x"
"1" "Model Co-efficients: treatment effects compared to ERL/GEF"
"" "x"
"1" "Key: SE=standard error; L95CrI/U95CrI=lower/upper 95% credible interval; DIC=deviance information criterion"
"" "x"
"1" "------------------"
"","x"
"1","Log Hazard Ratio"
"","Mean","Median","SE","L95CrI","U95CrI","Rhat"
"ERL/GEF",0,0,NA,0,0,NA
"AFA",-0.28,-0.28,0.11,-0.49,-0.04,1.12
"AFA+CET",-0.25,-0.25,0.19,-0.6,0.13,1.01
"CARBO+PEM",0.46,0.46,0.12,0.22,0.69,1.02
"CIS+PEM",0.43,0.42,0.17,0.13,0.78,1.1
"CIS+PEM+GEF_m",-0.26,-0.25,0.23,-0.72,0.2,1.05
"DAC",-0.48,-0.48,0.11,-0.7,-0.25,1
"EMI+ERL",-0.12,-0.12,0.17,-0.45,0.2,1
"ERL+BEV",-0.48,-0.48,0.12,-0.7,-0.24,1
"ERL+PAC+CARBO",-0.23,-0.24,0.35,-0.91,0.42,1.04
"GEF+BEV",0.97,0.99,0.82,-0.78,2.54,1.03
"GEF+CARBO+PEM",-0.7,-0.7,0.09,-0.87,-0.52,1
"GEF+CARBO+PEM (Alter)",-0.35,-0.35,0.28,-0.89,0.19,1
"GEF+FIC",-0.32,-0.32,0.29,-0.89,0.22,1
"GEF+MET",0.04,0.05,0.17,-0.3,0.38,1
"GEF+OLA",-0.29,-0.29,0.19,-0.65,0.09,1
"GEF+PEM",-0.38,-0.38,0.13,-0.64,-0.12,1
"GEM+CIS",1.01,1,0.14,0.74,1.29,1.03
"ICO",0.01,0,0.22,-0.42,0.46,1.05
"ICO high-dose",-0.29,-0.3,0.28,-0.83,0.28,1.03
"LIN+ERL",0.31,0.31,0.3,-0.28,0.88,1
"OSI",-0.78,-0.78,0.11,-1,-0.56,1
"RAM+ERL",-0.53,-0.53,0.13,-0.78,-0.26,1
"VIN+GEF",0.46,0.48,0.47,-0.43,1.4,1.03
"","x"
"1","Parameters"
"","Mean","Median","SE","L95CrI","U95CrI","Rhat"
"Deviance",53.6,52.76,7.86,40.47,71.02,1
"","x"
"1","DIC"
"","DIC"
"1",84.64
"","x"
"1","Residual Deviance"
"","resDev"
"1",37.8876206223333
