"x"
"1" "Pairwise Treatment Co-efficients; Median hazard ratio (95% Credible Interval)"
"" "x"
"1" "Row treatment vs. Column treatment (reference)"
"" "x"
"1" "------------------"
"","","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","beta[8]","beta[9]","beta[10]","beta[11]","beta[12]","beta[13]","beta[14]","beta[15]","beta[16]","beta[17]","beta[18]","beta[19]","beta[20]","beta[21]","beta[22]","beta[23]","beta[24]"
"","1 (1,1)","1.9 (0.49,3.45)","1.43 (1.01,2.69)","0.63 (0.49,0.8)","1.33 (0.37,2.9)","0.32 (0.08,1)","1.59 (1.27,2.04)","1.15 (0.79,1.65)","1.58 (1.28,2.02)","1.28 (0.65,12.67)","0.42 (0.09,1.54)","2 (1.69,2.35)","1.41 (0.87,2.32)","1.51 (0.81,3.14)","0.96 (0.71,1.29)","1.36 (0.93,1.94)","2.53 (1.14,9.4)","0.45 (0.18,0.68)","2.04 (0.54,5.27)","2.73 (0.67,7.89)","0.72 (0.42,1.24)","2.16 (1.79,2.72)","1.69 (1.34,2.16)","0.67 (0.3,1.27)"
"beta[2]","0.53 (0.29,2.05)","1 (1,1)","0.89 (0.29,3.17)","0.33 (0.16,1.49)","0.81 (0.23,1.56)","0.2 (0.07,0.54)","0.85 (0.43,3.42)","0.62 (0.27,2.59)","0.85 (0.44,3.75)","0.72 (0.38,9.66)","0.22 (0.05,1.81)","1.06 (0.57,4.33)","0.77 (0.31,3.4)","0.75 (0.32,6.17)","0.5 (0.25,2.34)","0.71 (0.36,3.26)","0.94 (0.59,14.35)","0.24 (0.16,0.49)","1.27 (0.32,2.68)","1.68 (0.42,4.09)","0.38 (0.17,2)","1.14 (0.59,4.77)","0.89 (0.43,3.78)","0.35 (0.16,1.94)"
"beta[3]","0.7 (0.37,0.99)","1.12 (0.32,3.4)","1 (1,1)","0.43 (0.22,0.68)","0.78 (0.25,2.17)","0.23 (0.05,0.42)","1.07 (0.56,1.74)","0.77 (0.35,1.27)","1.09 (0.54,1.67)","0.81 (0.41,12.58)","0.26 (0.04,1.13)","1.38 (0.7,2.1)","0.94 (0.39,1.75)","1.03 (0.36,2.28)","0.64 (0.31,1.02)","0.91 (0.41,1.61)","2.03 (0.49,7.69)","0.27 (0.13,0.65)","1.14 (0.36,3.76)","1.53 (0.45,5.77)","0.48 (0.2,0.97)","1.49 (0.74,2.31)","1.13 (0.57,1.89)","0.44 (0.12,1.19)"
"beta[4]","1.59 (1.25,2.05)","3 (0.67,6.14)","2.31 (1.47,4.61)","1 (1,1)","2.11 (0.58,5.07)","0.5 (0.13,1.65)","2.51 (1.8,3.63)","1.82 (1.2,2.74)","2.5 (1.8,3.63)","2.1 (1.03,20.62)","0.69 (0.14,2.5)","3.16 (2.31,4.31)","2.25 (1.27,3.92)","2.36 (1.19,5.61)","1.52 (1.06,2.21)","2.17 (1.31,3.23)","3.99 (1.65,14.89)","0.7 (0.29,1.19)","3.27 (0.85,9.14)","4.35 (1.1,13.57)","1.15 (0.63,2.14)","3.38 (2.5,5)","2.71 (1.94,3.76)","1.07 (0.45,2.15)"
"beta[5]","0.75 (0.35,2.69)","1.23 (0.64,4.32)","1.29 (0.46,3.95)","0.47 (0.2,1.71)","1 (1,1)","0.3 (0.08,0.72)","1.22 (0.5,4.26)","0.87 (0.35,3.13)","1.2 (0.49,4.44)","0.97 (0.32,17.24)","0.32 (0.04,2.15)","1.52 (0.65,5.6)","1.07 (0.41,4.19)","1.04 (0.42,7.91)","0.71 (0.29,2.82)","1.04 (0.4,4.22)","1.41 (0.45,18.56)","0.32 (0.14,0.81)","1.55 (1.17,2.1)","2.12 (1.4,3.36)","0.56 (0.17,2.55)","1.63 (0.69,5.91)","1.25 (0.55,4.72)","0.49 (0.17,2.1)"
"beta[6]","3.11 (1,12.16)","5.03 (1.86,15.24)","4.42 (2.36,19.17)","1.99 (0.61,7.87)","3.29 (1.4,13.11)","1 (1,1)","4.93 (1.57,18.61)","3.56 (0.94,13.84)","5.07 (1.51,17.96)","4.23 (1.1,47.91)","1.16 (0.16,8.65)","6.25 (1.92,24.42)","4.39 (1.26,16.97)","4.82 (0.88,28.22)","3 (0.89,13.11)","4.17 (1.17,16.21)","7.94 (1.24,76.54)","1.32 (0.41,3.94)","5.19 (2.06,19.95)","7.13 (2.56,29.65)","2.23 (0.57,9.46)","6.69 (1.95,25.6)","5.26 (1.66,21.24)","2.26 (0.36,12.15)"
"beta[7]","0.63 (0.49,0.79)","1.18 (0.29,2.32)","0.93 (0.58,1.79)","0.4 (0.28,0.56)","0.82 (0.23,2.01)","0.2 (0.05,0.64)","1 (1,1)","0.72 (0.48,1.04)","1 (0.74,1.37)","0.79 (0.41,8.26)","0.27 (0.06,0.96)","1.27 (0.92,1.58)","0.89 (0.51,1.49)","0.92 (0.46,2.25)","0.6 (0.43,0.84)","0.85 (0.52,1.3)","1.45 (0.66,6.04)","0.28 (0.11,0.46)","1.27 (0.36,3.49)","1.7 (0.42,5.27)","0.45 (0.24,0.81)","1.35 (1.03,1.86)","1.07 (0.77,1.49)","0.42 (0.17,0.86)"
"beta[8]","0.87 (0.61,1.27)","1.62 (0.39,3.67)","1.31 (0.79,2.84)","0.55 (0.37,0.83)","1.15 (0.32,2.88)","0.28 (0.07,1.06)","1.39 (0.96,2.11)","1 (1,1)","1.39 (0.91,2.22)","1.11 (0.57,11.16)","0.37 (0.07,1.25)","1.77 (1.2,2.63)","1.23 (0.74,2.33)","1.31 (0.63,3.06)","0.86 (0.51,1.31)","1.19 (0.69,2.03)","1.96 (0.9,8.79)","0.38 (0.16,0.69)","1.76 (0.45,5.16)","2.39 (0.59,7.24)","0.64 (0.35,1.18)","1.91 (1.27,2.96)","1.49 (0.95,2.29)","0.58 (0.24,1.24)"
"beta[9]","0.63 (0.5,0.78)","1.18 (0.27,2.29)","0.91 (0.6,1.86)","0.4 (0.28,0.55)","0.84 (0.23,2.05)","0.2 (0.06,0.66)","1 (0.73,1.35)","0.72 (0.45,1.1)","1 (1,1)","0.81 (0.42,8.2)","0.26 (0.05,0.98)","1.25 (0.95,1.69)","0.89 (0.51,1.49)","0.94 (0.51,2.17)","0.6 (0.41,0.89)","0.86 (0.53,1.23)","1.5 (0.67,6.04)","0.28 (0.11,0.43)","1.29 (0.33,3.43)","1.72 (0.43,4.95)","0.46 (0.23,0.83)","1.35 (1.04,1.91)","1.07 (0.77,1.5)","0.43 (0.19,0.86)"
"beta[10]","0.78 (0.08,1.53)","1.39 (0.1,2.62)","1.23 (0.08,2.45)","0.48 (0.05,0.97)","1.03 (0.06,3.12)","0.24 (0.02,0.91)","1.26 (0.12,2.46)","0.9 (0.09,1.75)","1.23 (0.12,2.4)","1 (1,1)","0.24 (0.05,0.98)","1.55 (0.16,3.07)","1.06 (0.11,2.36)","1.09 (0.08,3.99)","0.73 (0.07,1.49)","1.01 (0.11,2.18)","1.43 (0.26,8.39)","0.31 (0.04,0.64)","1.63 (0.09,6.54)","2.09 (0.12,9.79)","0.51 (0.06,1.3)","1.66 (0.17,3.25)","1.31 (0.13,2.63)","0.46 (0.06,1.15)"
